Distribution,Formula
kappa3,"f(x, a) = a (a + x^a)^{-(a + 1)/a}"
kappa4,"f(x, h, k) = (1 - k x)^{1/k - 1} (1 - h (1 - k x)^{1/k})^{1/h-1}"
ksone,"F(x) = 1 - 2 \sum_{k=1}^\infty (-1)^{k-1} e^{-2k^2 x^2}, \quad x > 0"
kstwo,D_n = \text{sup}_x |F_n(x) - F(x)|
kstwobign,D_n = \text{sup}_x |F_n(x) - F(x)|
landau,f(x) = \frac{1}{\pi}\int_0^\infty \exp(-t \log t - xt)\sin(\pi t) dt
laplace,f(x) = \frac{1}{2} \exp(-|x|)
laplace_asymmetric,"f(x) = \frac{1}{\kappa + 1/\kappa} \cdot \left[ \exp(-\kappa(x - \mu)) \cdot \mathbf{1}_{[ \mu, \infty )}(x) + \exp\left( \frac{x - \mu}{\kappa} \right) \cdot \mathbf{1}_{(-\infty, \mu)}(x) \right]"
levy,f(x) = \frac{1}{\sqrt{2\pi x^3}} \exp\left(-\frac{1}{2x}\right)
levy_l,f(x) = \frac{1}{|x| \sqrt{2\pi |x|}} \exp{ \left(-\frac{1}{2|x|} \right)}
levy_stable,"\varphi(t, \alpha, \beta, c, \mu) =         e^{it\mu -|ct|^{\alpha}(1-i\beta\operatorname{sign}(t)\Phi(\alpha, t))}"
loggamma,"f(x, c) = \frac{\exp(c x - \exp(x))}                        {\Gamma(c)}"
logistic,f(x) = \frac{\exp(-x)}                     {(1+\exp(-x))^2}
loglaplace,"f(x) = \frac{1}{2bx} \exp\left(-\frac{|\log x - \mu|}{b}\right), \quad x > 0"
lognorm,"f(x, s) = \frac{1}{s x \sqrt{2\pi}}                   \exp\left(-\frac{\log^2(x)}{2s^2}\right)"
loguniform,"f(x, a, b) = \frac{1}{x \log(b/a)}"
lomax,"f(x, c) = \frac{c}{(1+x)^{c+1}}"
maxwell,f(x) = \sqrt{2/\pi}x^2 \exp(-x^2/2)
mielke,"f(x, k, s) = \frac{k x^{k-1}}{(1+x^s)^{1+k/s}}"
moyal,f(x) = \exp(-(x + \exp(-x))/2) / \sqrt{2\pi}
multivariate_normal,"f(x) = \frac{1}{\sqrt{(2 \pi)^k \det \Sigma}}                \exp\left( -\frac{1}{2} (x - \mu)^T \Sigma^{-1} (x - \mu) \right),"
nakagami,"f(x, \nu) = \frac{2 \nu^\nu}{\Gamma(\nu)} x^{2\nu-1} \exp(-\nu x^2)"
ncf,"f(x) = \sum_{j=0}^\infty \frac{e^{-\lambda/2} (\lambda/2)^j}{j!} f_F(x; d_1 + 2j, d_2)"
nct,X = \frac{Y + c}{\sqrt{V/k}}
ncx2,"f(x, k, \lambda) = \frac{1}{2} \exp(-(\lambda+x)/2)             (x/\lambda)^{(k-2)/4}  I_{(k-2)/2}(\sqrt{\lambda x})"
norm,f(x) = \frac{\exp(-x^2/2)}{\sqrt{2\pi}}
norminvgauss,"f(x, a, b) = \frac{a \, K_1(a \sqrt{1 + x^2})}{\pi \sqrt{1 + x^2}} \,                      \exp(\sqrt{a^2 - b^2} + b x)"
pareto,"f(x, b) = \frac{b}{x^{b+1}}"
pearson3,"f(x, \kappa) = \frac{|\beta|}{\Gamma(\alpha)}                        (\beta (x - \zeta))^{\alpha - 1}                        \exp(-\beta (x - \zeta))"
powerlaw,"f(x, a) = a x^{a-1}"
